"","Date","diff","Team","Rk"
"178",2006-12-04,-18,"Chicago Bulls",14
"179",2006-12-06,-2,"Memphis Grizzlies",5
"180",2006-12-08,-5,"Phoenix Suns",4
"181",2006-12-09,2,"New Jersey Nets",13
"182",2006-12-11,7,"New York Knicks",29
"183",2006-12-13,20,"Philadelphia 76ers",22
"184",2006-12-15,5,"Denver Nuggets",15
"185",2006-12-16,6,"Charlotte Bobcats",27
"186",2006-12-20,-1,"Golden State Warriors",16
"187",2006-12-22,-15,"Philadelphia 76ers",22
"188",2006-12-26,-11,"Denver Nuggets",15
"189",2006-12-27,-23,"Los Angeles Clippers",9
"190",2006-12-29,-10,"Golden State Warriors",16
"191",2006-12-31,-6,"Seattle SuperSonics",26
"192",2007-01-01,8,"Portland Trail Blazers",30
"193",2007-01-03,-3,"Cleveland Cavaliers",8
"194",2007-01-05,9,"Memphis Grizzlies",5
"195",2007-01-07,-8,"Orlando Magic",18
"196",2007-01-10,-13,"Indiana Pacers",10
"197",2007-01-12,-9,"Toronto Raptors",25
"198",2007-01-13,-8,"Detroit Pistons",2
"199",2007-01-15,-4,"Atlanta Hawks",28
"200",2007-01-19,-5,"Sacramento Kings",12
"201",2007-01-20,-5,"Washington Wizards",11
"202",2007-01-22,-4,"San Antonio Spurs",1
"203",2007-01-24,-6,"Atlanta Hawks",28
"204",2007-01-26,-6,"Toronto Raptors",25
"205",2007-01-28,-14,"Washington Wizards",11
"206",2007-01-30,-7,"Indiana Pacers",10
"207",2007-01-31,-13,"Los Angeles Lakers",7
"208",2007-02-02,-11,"Los Angeles Clippers",9
"209",2007-02-06,-7,"Detroit Pistons",2
"210",2007-02-07,-12,"Miami Heat",6
"211",2007-02-09,-14,"New Jersey Nets",13
"212",2007-02-11,-2,"Minnesota Timberwolves",21
"213",2007-02-14,20,"Milwaukee Bucks",17
"214",2007-02-20,-3,"Sacramento Kings",12
"215",2007-02-21,-10,"Phoenix Suns",4
"216",2007-02-23,-26,"Los Angeles Lakers",7
"217",2007-02-24,-18,"Utah Jazz",23
"218",2007-02-26,5,"Houston Rockets",19
"219",2007-02-28,8,"New York Knicks",29
"220",2007-03-03,8,"New Jersey Nets",13
"221",2007-03-04,7,"Minnesota Timberwolves",21
"222",2007-03-07,-31,"Houston Rockets",19
"223",2007-03-09,15,"Seattle SuperSonics",26
"224",2007-03-11,-16,"Chicago Bulls",14
"225",2007-03-13,-8,"Chicago Bulls",14
"226",2007-03-14,21,"Atlanta Hawks",28
"227",2007-03-16,-5,"Dallas Mavericks",3
"228",2007-03-17,6,"San Antonio Spurs",1
"229",2007-03-19,-18,"New Orleans/Oklahoma City Hornets",24
"230",2007-03-21,-8,"Charlotte Bobcats",27
"231",2007-03-23,-14,"Dallas Mavericks",3
"232",2007-03-26,8,"Toronto Raptors",25
"233",2007-03-28,9,"Orlando Magic",18
"234",2007-03-30,-6,"Philadelphia 76ers",22
"235",2007-04-01,2,"Cleveland Cavaliers",8
"236",2007-04-04,-9,"Milwaukee Bucks",17
"237",2007-04-06,-3,"Miami Heat",6
"238",2007-04-07,-7,"Indiana Pacers",10
"239",2007-04-10,-8,"Atlanta Hawks",28
"240",2007-04-11,-8,"Philadelphia 76ers",22
"241",2007-04-13,-2,"Milwaukee Bucks",17
"242",2007-04-15,-2,"Orlando Magic",18
"243",2007-04-16,2,"Miami Heat",6
"244",2007-04-18,-2,"Detroit Pistons",2
"245",2007-11-02,20,"Washington Wizards",15
"246",2007-11-04,3,"Toronto Raptors",10
"247",2007-11-07,26,"Denver Nuggets",9
"248",2007-11-09,23,"Atlanta Hawks",30
"249",2007-11-10,11,"New Jersey Nets",16
"250",2007-11-13,15,"Indiana Pacers",20
"251",2007-11-14,22,"New Jersey Nets",16
"252",2007-11-16,1,"Miami Heat",19
"253",2007-11-18,-2,"Orlando Magic",11
"254",2007-11-21,23,"Golden State Warriors",13
"255",2007-11-23,13,"Los Angeles Lakers",12
"256",2007-11-24,1,"Charlotte Bobcats",27
"257",2007-11-27,-5,"Cleveland Cavaliers",7
"258",2007-11-29,45,"New York Knicks",22
"259",2007-11-30,10,"Miami Heat",19
"260",2007-12-02,10,"Cleveland Cavaliers",7
"261",2007-12-05,10,"Philadelphia 76ers",24
"262",2007-12-07,28,"Toronto Raptors",10
"263",2007-12-08,11,"Chicago Bulls",5
"264",2007-12-12,12,"Sacramento Kings",17
"265",2007-12-14,22,"Milwaukee Bucks",28
"266",2007-12-16,13,"Toronto Raptors",10
"267",2007-12-19,-2,"Detroit Pistons",6
"268",2007-12-21,25,"Chicago Bulls",5
"269",2007-12-23,12,"Orlando Magic",11
"270",2007-12-26,20,"Sacramento Kings",17
"271",2007-12-27,8,"Seattle SuperSonics",21
"272",2007-12-29,6,"Utah Jazz",8
"273",2007-12-30,19,"Los Angeles Lakers",12
"274",2008-01-02,4,"Houston Rockets",4
"275",2008-01-04,4,"Memphis Grizzlies",29
"276",2008-01-05,7,"Detroit Pistons",6
"277",2008-01-09,-12,"Charlotte Bobcats",27
"278",2008-01-11,9,"New Jersey Nets",16
"279",2008-01-12,-7,"Washington Wizards",15
"280",2008-01-14,-5,"Washington Wizards",15
"281",2008-01-16,10,"Portland Trail Blazers",26
"282",2008-01-18,27,"Philadelphia 76ers",24
"283",2008-01-21,16,"New York Knicks",22
"284",2008-01-23,-2,"Toronto Raptors",10
"285",2008-01-25,1,"Minnesota Timberwolves",23
"286",2008-01-27,-3,"Orlando Magic",11
"287",2008-01-29,30,"Miami Heat",19
"288",2008-01-31,6,"Dallas Mavericks",2
"289",2008-02-05,-1,"Cleveland Cavaliers",7
"290",2008-02-06,11,"Los Angeles Clippers",14
"291",2008-02-08,2,"Minnesota Timberwolves",23
"292",2008-02-10,8,"San Antonio Spurs",1
"293",2008-02-12,7,"Indiana Pacers",20
"294",2008-02-13,8,"New York Knicks",22
"295",2008-02-19,-6,"Denver Nuggets",9
"296",2008-02-20,-2,"Golden State Warriors",13
"297",2008-02-22,-8,"Phoenix Suns",3
"298",2008-02-24,10,"Portland Trail Blazers",26
"299",2008-02-25,28,"Los Angeles Clippers",14
"300",2008-02-27,5,"Cleveland Cavaliers",7
"301",2008-02-29,8,"Charlotte Bobcats",27
"302",2008-03-02,10,"Atlanta Hawks",30
"303",2008-03-05,12,"Detroit Pistons",6
"304",2008-03-07,23,"Chicago Bulls",5
"305",2008-03-08,30,"Memphis Grizzlies",29
"306",2008-03-10,14,"Philadelphia 76ers",24
"307",2008-03-12,29,"Seattle SuperSonics",21
"308",2008-03-14,-18,"Utah Jazz",8
"309",2008-03-15,22,"Milwaukee Bucks",28
"310",2008-03-17,2,"San Antonio Spurs",1
"311",2008-03-18,20,"Houston Rockets",4
"312",2008-03-20,4,"Dallas Mavericks",2
"313",2008-03-24,-5,"Philadelphia 76ers",24
"314",2008-03-26,20,"Phoenix Suns",3
"315",2008-03-30,26,"Miami Heat",19
"316",2008-04-01,14,"Chicago Bulls",5
"317",2008-04-02,15,"Indiana Pacers",20
"318",2008-04-05,23,"Charlotte Bobcats",27
"319",2008-04-08,3,"Milwaukee Bucks",28
"320",2008-04-09,-14,"Washington Wizards",15
"321",2008-04-11,16,"Milwaukee Bucks",28
"322",2008-04-12,10,"Atlanta Hawks",30
"323",2008-04-14,6,"New York Knicks",22
"324",2008-04-16,11,"New Jersey Nets",16
"325",2008-10-28,5,"Cleveland Cavaliers",16
"326",2008-10-31,16,"Chicago Bulls",21
"327",2008-11-01,-16,"Indiana Pacers",18
"328",2008-11-04,4,"Houston Rockets",7
"329",2008-11-07,12,"Milwaukee Bucks",28
"330",2008-11-09,12,"Detroit Pistons",3
"331",2008-11-10,7,"Toronto Raptors",12
"332",2008-11-12,1,"Atlanta Hawks",20
"333",2008-11-14,-9,"Denver Nuggets",11
"334",2008-11-15,5,"Milwaukee Bucks",28
"335",2008-11-18,9,"New York Knicks",26
"336",2008-11-20,18,"Detroit Pistons",3
"337",2008-11-21,17,"Minnesota Timberwolves",25
"338",2008-11-23,15,"Toronto Raptors",12
"339",2008-11-26,8,"Golden State Warriors",13
"340",2008-11-28,24,"Philadelphia 76ers",14
"341",2008-11-29,5,"Charlotte Bobcats",22
"342",2008-12-01,19,"Orlando Magic",10
"343",2008-12-03,18,"Indiana Pacers",18
"344",2008-12-05,15,"Portland Trail Blazers",15
"345",2008-12-07,5,"Indiana Pacers",18
"346",2008-12-11,34,"Washington Wizards",17
"347",2008-12-12,12,"New Orleans Hornets",5
"348",2008-12-15,9,"Utah Jazz",4
"349",2008-12-17,3,"Atlanta Hawks",20
"350",2008-12-19,18,"Chicago Bulls",21
"351",2008-12-21,19,"New York Knicks",26
"352",2008-12-23,19,"Philadelphia 76ers",14
"353",2008-12-25,-9,"Los Angeles Lakers",2
"354",2008-12-26,-10,"Golden State Warriors",13
"355",2008-12-28,45,"Sacramento Kings",19
"356",2008-12-30,-5,"Portland Trail Blazers",15
"357",2009-01-02,25,"Washington Wizards",17
"358",2009-01-04,-12,"New York Knicks",26
"359",2009-01-06,-8,"Charlotte Bobcats",22
"360",2009-01-07,-4,"Houston Rockets",7
"361",2009-01-09,-15,"Cleveland Cavaliers",16
"362",2009-01-11,6,"Toronto Raptors",12
"363",2009-01-12,6,"Toronto Raptors",12
"364",2009-01-14,32,"New Jersey Nets",23
"365",2009-01-17,20,"New Jersey Nets",23
"366",2009-01-19,17,"Phoenix Suns",8
"367",2009-01-21,15,"Miami Heat",30
"368",2009-01-22,10,"Orlando Magic",10
"369",2009-01-25,24,"Dallas Mavericks",9
"370",2009-01-28,19,"Sacramento Kings",19
"371",2009-01-30,8,"Detroit Pistons",3
"372",2009-02-01,8,"Minnesota Timberwolves",25
"373",2009-02-03,1,"Philadelphia 76ers",14
"374",2009-02-05,-1,"Los Angeles Lakers",2
"375",2009-02-06,10,"New York Knicks",26
"376",2009-02-08,-6,"San Antonio Spurs",6
"377",2009-02-11,12,"New Orleans Hornets",5
"378",2009-02-12,7,"Dallas Mavericks",9
"379",2009-02-19,-5,"Utah Jazz",4
"380",2009-02-22,20,"Phoenix Suns",8
"381",2009-02-23,38,"Denver Nuggets",11
"382",2009-02-25,-2,"Los Angeles Clippers",27
"383",2009-02-27,5,"Indiana Pacers",18
"384",2009-03-01,-10,"Detroit Pistons",3
"385",2009-03-04,4,"New Jersey Nets",23
"386",2009-03-06,11,"Cleveland Cavaliers",16
"387",2009-03-08,-7,"Orlando Magic",10
"388",2009-03-11,-8,"Miami Heat",30
"389",2009-03-13,10,"Memphis Grizzlies",24
"390",2009-03-15,-9,"Milwaukee Bucks",28
"391",2009-03-17,-6,"Chicago Bulls",21
"392",2009-03-18,4,"Miami Heat",30
"393",2009-03-20,3,"San Antonio Spurs",6
"394",2009-03-21,18,"Memphis Grizzlies",24
"395",2009-03-23,13,"Los Angeles Clippers",27
"396",2009-03-25,-2,"Orlando Magic",10
"397",2009-03-27,6,"Atlanta Hawks",20
"398",2009-04-01,2,"Charlotte Bobcats",22
"399",2009-04-03,12,"Atlanta Hawks",20
"400",2009-04-08,2,"New Jersey Nets",23
