"","game.id","Date","team","div","conf","status","pts","diff","def.rank"
"92",46,"Mon, Nov 3, 2014","Utah Jazz","Atlantic Division","East","v","101","-6","28"
"93",47,"Mon, Nov 3, 2014","Memphis Grizzlies","Southwest Division","West","h","93","12","13"
"94",47,"Mon, Nov 3, 2014","New Orleans Pelicans","Atlantic Division","East","v","81","-12","21"
"95",48,"Mon, Nov 3, 2014","Philadelphia 76ers","Southwest Division","East","h","93","-11","30"
"96",48,"Mon, Nov 3, 2014","Houston Rockets","Atlantic Division","East","v","104","11","5"
"97",49,"Tue, Nov 4, 2014","Chicago Bulls","Southeast Division","East","h","98","8","14"
"98",49,"Tue, Nov 4, 2014","Orlando Magic","Atlantic Division","East","v","90","-8","27"
"99",50,"Tue, Nov 4, 2014","Indiana Pacers","Central Division","East","h","81","-6","8"
"100",50,"Tue, Nov 4, 2014","Milwaukee Bucks","Atlantic Division","East","v","87","6","29"
"101",51,"Tue, Nov 4, 2014","Los Angeles Lakers","Pacific Division","West","h","106","-6","25"
"102",51,"Tue, Nov 4, 2014","Phoenix Suns","Atlantic Division","East","v","112","6","11"
"103",52,"Tue, Nov 4, 2014","Miami Heat","Southwest Division","East","h","91","-17","6"
"104",52,"Tue, Nov 4, 2014","Houston Rockets","Atlantic Division","East","v","108","17","5"
"105",53,"Tue, Nov 4, 2014","New Orleans Pelicans","Southeast Division","West","h","100","9","21"
"106",53,"Tue, Nov 4, 2014","Charlotte Hornets","Atlantic Division","East","v","91","-9","17"
"107",54,"Tue, Nov 4, 2014","New York Knicks","Southeast Division","East","h","83","-15","18"
"108",54,"Tue, Nov 4, 2014","Washington Wizards","Atlantic Division","East","v","98","15","15"
"109",55,"Tue, Nov 4, 2014","Portland Trail Blazers","Central Division","West","h","101","19","7"
"110",55,"Tue, Nov 4, 2014","Cleveland Cavaliers","Atlantic Division","East","v","82","-19","23"
"111",56,"Tue, Nov 4, 2014","Toronto Raptors","Northwest Division","East","h","100","12","12"
"112",56,"Tue, Nov 4, 2014","Oklahoma City Thunder","Atlantic Division","East","v","88","-12","3"
"113",57,"Wed, Nov 5, 2014","Boston Celtics","Atlantic Division","East","h","107","-3","26"
"114",57,"Wed, Nov 5, 2014","Toronto Raptors","Atlantic Division","East","v","110","3","12"
"115",58,"Wed, Nov 5, 2014","Brooklyn Nets","Southwest Division","East","h","91","-7","20"
"116",58,"Wed, Nov 5, 2014","Minnesota Timberwolves","Atlantic Division","East","v","98","7","10"
"117",59,"Wed, Nov 5, 2014","Charlotte Hornets","Southeast Division","East","h","96","7","17"
"118",59,"Wed, Nov 5, 2014","Miami Heat","Atlantic Division","East","v","89","-7","6"
"119",60,"Wed, Nov 5, 2014","Detroit Pistons","Atlantic Division","East","h","98","3","24"
"120",60,"Wed, Nov 5, 2014","New York Knicks","Atlantic Division","East","v","95","-3","18"
"121",61,"Wed, Nov 5, 2014","Golden State Warriors","Pacific Division","West","h","121","17","4"
"122",61,"Wed, Nov 5, 2014","Los Angeles Clippers","Atlantic Division","East","v","104","-17","2"
"123",62,"Wed, Nov 5, 2014","Milwaukee Bucks","Central Division","East","h","86","-9","29"
"124",62,"Wed, Nov 5, 2014","Chicago Bulls","Atlantic Division","East","v","95","9","14"
"125",63,"Wed, Nov 5, 2014","Philadelphia 76ers","Southeast Division","East","h","89","-2","30"
"126",63,"Wed, Nov 5, 2014","Orlando Magic","Atlantic Division","East","v","91","2","27"
"127",64,"Wed, Nov 5, 2014","Phoenix Suns","Southwest Division","West","h","91","-11","11"
"128",64,"Wed, Nov 5, 2014","Memphis Grizzlies","Atlantic Division","East","v","102","11","13"
"129",65,"Wed, Nov 5, 2014","Sacramento Kings","Northwest Division","West","h","131","22","22"
"130",65,"Wed, Nov 5, 2014","Denver Nuggets","Atlantic Division","East","v","109","-22","19"
"131",66,"Wed, Nov 5, 2014","San Antonio Spurs","Southeast Division","West","h","94","2","1"
"132",66,"Wed, Nov 5, 2014","Atlanta Hawks","Atlantic Division","East","v","92","-2","16"
"133",67,"Wed, Nov 5, 2014","Utah Jazz","Central Division","West","h","102","2","28"
"134",67,"Wed, Nov 5, 2014","Cleveland Cavaliers","Atlantic Division","East","v","100","-2","23"
"135",68,"Wed, Nov 5, 2014","Washington Wizards","Central Division","East","h","96","2","15"
"136",68,"Wed, Nov 5, 2014","Indiana Pacers","Atlantic Division","East","v","94","-2","8"
"137",69,"Thu, Nov 6, 2014","Houston Rockets","Southwest Division","West","h","98","17","5"
"138",69,"Thu, Nov 6, 2014","San Antonio Spurs","Atlantic Division","East","v","81","-17","1"
"139",70,"Thu, Nov 6, 2014","Portland Trail Blazers","Southwest Division","West","h","108","21","7"
"140",70,"Thu, Nov 6, 2014","Dallas Mavericks","Atlantic Division","East","v","87","-21","9"
"141",71,"Fri, Nov 7, 2014","Boston Celtics","Central Division","East","h","101","3","26"
"142",71,"Fri, Nov 7, 2014","Indiana Pacers","Atlantic Division","East","v","98","-3","8"
"143",72,"Fri, Nov 7, 2014","Brooklyn Nets","Atlantic Division","East","h","110","11","20"
"144",72,"Fri, Nov 7, 2014","New York Knicks","Atlantic Division","East","v","99","-11","18"
"145",73,"Fri, Nov 7, 2014","Charlotte Hornets","Southeast Division","East","h","122","3","17"
"146",73,"Fri, Nov 7, 2014","Atlanta Hawks","Atlantic Division","East","v","119","-3","16"
"147",74,"Fri, Nov 7, 2014","Denver Nuggets","Central Division","West","h","101","-9","19"
"148",74,"Fri, Nov 7, 2014","Cleveland Cavaliers","Atlantic Division","East","v","110","9","23"
"149",75,"Fri, Nov 7, 2014","Detroit Pistons","Central Division","East","h","98","3","24"
"150",75,"Fri, Nov 7, 2014","Milwaukee Bucks","Atlantic Division","East","v","95","-3","29"
"151",76,"Fri, Nov 7, 2014","Oklahoma City Thunder","Southwest Division","West","h","89","-2","3"
"152",76,"Fri, Nov 7, 2014","Memphis Grizzlies","Atlantic Division","East","v","91","2","13"
"153",77,"Fri, Nov 7, 2014","Orlando Magic","Southwest Division","East","h","112","9","27"
"154",77,"Fri, Nov 7, 2014","Minnesota Timberwolves","Atlantic Division","East","v","103","-9","10"
"155",78,"Fri, Nov 7, 2014","Philadelphia 76ers","Central Division","East","h","115","-3","30"
"156",78,"Fri, Nov 7, 2014","Chicago Bulls","Atlantic Division","East","v","118","3","14"
"157",79,"Fri, Nov 7, 2014","Phoenix Suns","Pacific Division","West","h","112","-2","11"
"158",79,"Fri, Nov 7, 2014","Sacramento Kings","Atlantic Division","East","v","114","2","22"
"159",80,"Fri, Nov 7, 2014","Toronto Raptors","Southeast Division","East","h","103","19","12"
"160",80,"Fri, Nov 7, 2014","Washington Wizards","Atlantic Division","East","v","84","-19","15"
"161",81,"Fri, Nov 7, 2014","Utah Jazz","Southwest Division","West","h","82","-23","28"
"162",81,"Fri, Nov 7, 2014","Dallas Mavericks","Atlantic Division","East","v","105","23","9"
"163",82,"Sat, Nov 8, 2014","Atlanta Hawks","Atlantic Division","East","h","103","7","16"
"164",82,"Sat, Nov 8, 2014","New York Knicks","Atlantic Division","East","v","96","-7","18"
"165",83,"Sat, Nov 8, 2014","Chicago Bulls","Atlantic Division","East","h","101","-5","14"
"166",83,"Sat, Nov 8, 2014","Boston Celtics","Atlantic Division","East","v","106","5","26"
"167",84,"Sat, Nov 8, 2014","Houston Rockets","Pacific Division","West","h","87","-11","5"
"168",84,"Sat, Nov 8, 2014","Golden State Warriors","Atlantic Division","East","v","98","11","4"
"169",85,"Sat, Nov 8, 2014","Indiana Pacers","Southeast Division","East","h","90","-7","8"
"170",85,"Sat, Nov 8, 2014","Washington Wizards","Atlantic Division","East","v","97","7","15"
"171",86,"Sat, Nov 8, 2014","Los Angeles Clippers","Northwest Division","West","h","106","4","2"
"172",86,"Sat, Nov 8, 2014","Portland Trail Blazers","Atlantic Division","East","v","102","-4","7"
"173",87,"Sat, Nov 8, 2014","Miami Heat","Southwest Division","East","h","102","10","6"
"174",87,"Sat, Nov 8, 2014","Minnesota Timberwolves","Atlantic Division","East","v","92","-10","10"
"175",88,"Sat, Nov 8, 2014","Milwaukee Bucks","Southwest Division","East","h","93","1","29"
"176",88,"Sat, Nov 8, 2014","Memphis Grizzlies","Atlantic Division","East","v","92","-1","13"
"177",89,"Sat, Nov 8, 2014","San Antonio Spurs","Southwest Division","West","h","99","-1","1"
"178",89,"Sat, Nov 8, 2014","New Orleans Pelicans","Atlantic Division","East","v","100","1","21"
"179",90,"Sun, Nov 9, 2014","Brooklyn Nets","Southeast Division","East","h","104","8","20"
"180",90,"Sun, Nov 9, 2014","Orlando Magic","Atlantic Division","East","v","96","-8","27"
"181",91,"Sun, Nov 9, 2014","Dallas Mavericks","Southeast Division","West","h","96","-9","9"
"182",91,"Sun, Nov 9, 2014","Miami Heat","Atlantic Division","East","v","105","9","6"
"183",92,"Sun, Nov 9, 2014","Detroit Pistons","Northwest Division","East","h","96","-1","24"
"184",92,"Sun, Nov 9, 2014","Utah Jazz","Atlantic Division","East","v","97","1","28"
"185",93,"Sun, Nov 9, 2014","Los Angeles Lakers","Southeast Division","West","h","107","15","25"
"186",93,"Sun, Nov 9, 2014","Charlotte Hornets","Atlantic Division","East","v","92","-15","17"
"187",94,"Sun, Nov 9, 2014","Oklahoma City Thunder","Pacific Division","West","h","101","8","3"
"188",94,"Sun, Nov 9, 2014","Sacramento Kings","Atlantic Division","East","v","93","-8","22"
"189",95,"Sun, Nov 9, 2014","Phoenix Suns","Pacific Division","West","h","107","12","11"
"190",95,"Sun, Nov 9, 2014","Golden State Warriors","Atlantic Division","East","v","95","-12","4"
"191",96,"Sun, Nov 9, 2014","Portland Trail Blazers","Northwest Division","West","h","116","16","7"
"192",96,"Sun, Nov 9, 2014","Denver Nuggets","Atlantic Division","East","v","100","-16","19"
"193",97,"Sun, Nov 9, 2014","Toronto Raptors","Atlantic Division","East","h","120","32","12"
"194",97,"Sun, Nov 9, 2014","Philadelphia 76ers","Atlantic Division","East","v","88","-32","30"
"195",98,"Mon, Nov 10, 2014","Chicago Bulls","Central Division","East","h","102","11","14"
"196",98,"Mon, Nov 10, 2014","Detroit Pistons","Atlantic Division","East","v","91","-11","24"
"197",99,"Mon, Nov 10, 2014","Cleveland Cavaliers","Southwest Division","East","h","118","7","23"
"198",99,"Mon, Nov 10, 2014","New Orleans Pelicans","Atlantic Division","East","v","111","-7","21"
"199",100,"Mon, Nov 10, 2014","Indiana Pacers","Northwest Division","East","h","97","11","8"
"200",100,"Mon, Nov 10, 2014","Utah Jazz","Atlantic Division","East","v","86","-11","28"
"201",101,"Mon, Nov 10, 2014","Los Angeles Clippers","Southwest Division","West","h","85","-4","2"
"202",101,"Mon, Nov 10, 2014","San Antonio Spurs","Atlantic Division","East","v","89","4","1"
"203",102,"Mon, Nov 10, 2014","New York Knicks","Southeast Division","East","h","85","-6","18"
"204",102,"Mon, Nov 10, 2014","Atlanta Hawks","Atlantic Division","East","v","91","6","16"
"205",103,"Tue, Nov 11, 2014","Dallas Mavericks","Pacific Division","West","h","106","8","9"
"206",103,"Tue, Nov 11, 2014","Sacramento Kings","Atlantic Division","East","v","98","-8","22"
"207",104,"Tue, Nov 11, 2014","Golden State Warriors","Southwest Division","West","h","100","-13","4"
"208",104,"Tue, Nov 11, 2014","San Antonio Spurs","Atlantic Division","East","v","113","13","1"
"209",105,"Tue, Nov 11, 2014","Memphis Grizzlies","Pacific Division","West","h","107","5","13"
"210",105,"Tue, Nov 11, 2014","Los Angeles Lakers","Atlantic Division","East","v","102","-5","25"
"211",106,"Tue, Nov 11, 2014","Milwaukee Bucks","Northwest Division","East","h","85","7","29"
"212",106,"Tue, Nov 11, 2014","Oklahoma City Thunder","Atlantic Division","East","v","78","-7","3"
"213",107,"Tue, Nov 11, 2014","Portland Trail Blazers","Southeast Division","West","h","102","2","7"
"214",107,"Tue, Nov 11, 2014","Charlotte Hornets","Atlantic Division","East","v","100","-2","17"
"215",108,"Tue, Nov 11, 2014","Toronto Raptors","Southeast Division","East","h","104","4","12"
"216",108,"Tue, Nov 11, 2014","Orlando Magic","Atlantic Division","East","v","100","-4","27"
"217",109,"Wed, Nov 12, 2014","Atlanta Hawks","Northwest Division","East","h","100","3","16"
"218",109,"Wed, Nov 12, 2014","Utah Jazz","Atlantic Division","East","v","97","-3","28"
"219",110,"Wed, Nov 12, 2014","Boston Celtics","Northwest Division","East","h","94","-15","26"
"220",110,"Wed, Nov 12, 2014","Oklahoma City Thunder","Atlantic Division","East","v","109","15","3"
"221",111,"Wed, Nov 12, 2014","Denver Nuggets","Northwest Division","West","h","113","-17","19"
"222",111,"Wed, Nov 12, 2014","Portland Trail Blazers","Atlantic Division","East","v","130","17","7"
"223",112,"Wed, Nov 12, 2014","Miami Heat","Central Division","East","h","75","-6","6"
"224",112,"Wed, Nov 12, 2014","Indiana Pacers","Atlantic Division","East","v","81","6","8"
"225",113,"Wed, Nov 12, 2014","Minnesota Timberwolves","Southwest Division","West","h","101","-12","10"
"226",113,"Wed, Nov 12, 2014","Houston Rockets","Atlantic Division","East","v","113","12","5"
"227",114,"Wed, Nov 12, 2014","New Orleans Pelicans","Pacific Division","West","h","109","7","21"
"228",114,"Wed, Nov 12, 2014","Los Angeles Lakers","Atlantic Division","East","v","102","-7","25"
"229",115,"Wed, Nov 12, 2014","New York Knicks","Southeast Division","East","h","95","-2","18"
"230",115,"Wed, Nov 12, 2014","Orlando Magic","Atlantic Division","East","v","97","2","27"
